Country,cause,val
Ukraine,Cardiovascular diseases,449376.4486
Gambia,Chronic respiratory diseases,423.8847798
Switzerland,Self-harm and interpersonal violence,1226.130316
Uganda,Transport injuries,6012.365027
Denmark,Self-harm and interpersonal violence,711.5212175
Czechia,Neglected tropical diseases and malaria,1.151914528
Yemen,Substance use disorders,342.4788796
Yemen,Diabetes and kidney diseases,4517.475653
Ukraine,Neglected tropical diseases and malaria,18.11972794
Costa Rica,Chronic respiratory diseases,1424.59757
Dominica,Cardiovascular diseases,241.8384869
Dominica,Musculoskeletal disorders,1.601715534
Iran (Islamic Republic of),Neglected tropical diseases and malaria,88.69250041
Yemen,Self-harm and interpersonal violence,15803.62613
Ukraine,Neoplasms,99217.60011
Russian Federation,HIV/AIDS and sexually transmitted infections,18860.98212
Russian Federation,Respiratory infections and tuberculosis,41133.31271
Russian Federation,Enteric infections,449.1024875
Russian Federation,Other infectious diseases,2925.049605
Russian Federation,Maternal and neonatal disorders,3761.758353
Switzerland,Mental disorders,4.965732567
Egypt,Self-harm and interpersonal violence,4323.048127
Costa Rica,Neurological disorders,1707.829749
Myanmar,Digestive diseases,25894.79032
Gambia,Cardiovascular diseases,2603.435952
Gambia,Musculoskeletal disorders,9.950632509
Puerto Rico,Musculoskeletal disorders,89.42374189
Puerto Rico,Other non-communicable diseases,1047.746045
Finland,Chronic respiratory diseases,2043.229149
Saint Kitts and Nevis,Cardiovascular diseases,156.6997774
Gambia,Neoplasms,1069.768874
Iran (Islamic Republic of),Neoplasms,66792.30442
Switzerland,Musculoskeletal disorders,322.4130383
Switzerland,Other non-communicable diseases,1109.510236
Czechia,Digestive diseases,4845.714353
Costa Rica,Cardiovascular diseases,6664.426319
Denmark,Enteric infections,373.7504519
Denmark,Other infectious diseases,102.8183094
Denmark,Maternal and neonatal disorders,111.0004473
Denmark,Substance use disorders,1014.644461
Denmark,Diabetes and kidney diseases,2567.701437
Finland,Nutritional deficiencies,12.47279115
Switzerland,Transport injuries,406.7902707
Switzerland,Unintentional injuries,2651.497586
Czechia,Neoplasms,30717.89257
Dominica,Unintentional injuries,17.09068559
Ukraine,Musculoskeletal disorders,275.0514206
Ukraine,Other non-communicable diseases,4369.475163
Ukraine,Skin and subcutaneous diseases,396.4383203
Myanmar,HIV/AIDS and sexually transmitted infections,5308.38316
Myanmar,Respiratory infections and tuberculosis,35799.16229
Myanmar,Enteric infections,8070.932503
Myanmar,Other infectious diseases,9039.252566
Gabon,Other infectious diseases,190.5710218
Gabon,Maternal and neonatal disorders,587.2006902
Gabon,Substance use disorders,29.01968802
Gabon,Diabetes and kidney diseases,981.2115707
Czechia,Skin and subcutaneous diseases,128.6288679
Czechia,Respiratory infections and tuberculosis,3452.60694
Czechia,Enteric infections,301.3830093
Czechia,Other infectious diseases,94.94877413
Saint Kitts and Nevis,Nutritional deficiencies,3.809815003
Costa Rica,HIV/AIDS and sexually transmitted infections,150.1628748
Costa Rica,Respiratory infections and tuberculosis,723.629117
Costa Rica,Enteric infections,129.3999724
Ukraine,Nutritional deficiencies,138.6092523
Gambia,Digestive diseases,625.0490075
Gambia,Unintentional injuries,381.9380772
Uganda,Unintentional injuries,5568.790554
Czechia,Chronic respiratory diseases,4062.324453
Costa Rica,Digestive diseases,1775.571545
Costa Rica,Transport injuries,921.8653392
Costa Rica,Unintentional injuries,814.6769225
United Kingdom,Neglected tropical diseases and malaria,5.250110605
United Kingdom,Cardiovascular diseases,188112.9513
Iran (Islamic Republic of),Chronic respiratory diseases,16834.61998
Uganda,Musculoskeletal disorders,149.821894
Uganda,Other non-communicable diseases,8805.359588
